site_reach,field_date,pH,temperature,raw_ammonia_mg_N_L
RUS-4S,6/24/2022,8.07,24.82,0.0027
SAL-4S,6/27/2022,7.72,19.81,0.0134
SAL-2UP,6/27/2022,8.11,20.49,0.0084
EEL-4S,6/29/2022,8.9,20.33,0.0097
EEL-3UP,6/29/2022,8.88,23.6,0.011
EEL-2UP,6/29/2022,9.14,25.43,0.0091
RUS-4S,7/6/2022,8.07,21.4,0.0067
RUS-3UP,7/6/2022,8.25,22.84,0.0062
RUS-2UP,7/7/2022,8.4,23.76,0.0068
SAL-4S,7/12/2022,7.72,20.52,0.0144
SAL-3UP,7/12/2022,8.35,21.64,0.0113
SAL-2UP,7/12/2022,8.11,22.59,0.0146
EEL-4S,7/14/2022,8.9,21.71,0.0063
EEL-3UP,7/14/2022,8.88,23.63,0.0072
EEL-2UP,7/14/2022,9.14,25.72,0.0082
RUS-4S,7/20/2022,8.07,22.22,0.0066
RUS-3UP,7/20/2022,8.25,23.75,0.0045
RUS-2UP,7/20/2022,8.4,24.68,0.0028
SAL-4S,7/26/2022,7.72,21.41,0.0076
SAL-3UP,7/26/2022,8.35,21.52,0.0089
SAL-2UP,7/26/2022,8.11,22.13,0.0084
EEL-4S,7/28/2022,8.9,24.49,0.0042
EEL-3UP,7/28/2022,8.88,25.83,0.0049
EEL-2UP,7/28/2022,9.14,28.48,0.0068
RUS-4S,8/2/2022,8.07,21.8,0.0051
RUS-3UP,8/2/2022,8.25,23.41,0.0136
RUS-2UP,8/2/2022,8.4,24.27,0.0082
EEL-4S,8/10/2022,8.55,21.81,0.056
EEL-3UP,8/10/2022,8.63,24.71,0.0778
EEL-2UP,8/10/2022,8.92,27.1,0.0141
RUS-4S,8/17/2022,8.22,22.7,0.0361
RUS-3UP,8/17/2022,8.27,23.53,0.0169
RUS-2UP,8/17/2022,8.53,24.33,0.0082
EEL-4S,8/23/2022,8.75,24.2,0.01
EEL-3UP,8/23/2022,8.62,24.71,0.0095
EEL-2UP,8/23/2022,8.85,27.38,0.0118
RUS-4S,9/1/2022,8.03,20.53,0.0088
RUS-3UP,9/1/2022,8.27,22.69,0.00815
RUS-2UP,9/1/2022,8.56,22.8,0.0057
EEL-4S,9/6/2022,8.17,22.466,0.0093
EEL-3UP,9/6/2022,8.47,24.115,0.0077
EEL-2UP,9/6/2022,8.74,27.42,0.0154
RUS-4S,9/15/2022,7.98,18.757,0.0081
RUS-3UP,9/15/2022,8.19,19.924,0.0094
RUS-2UP,9/15/2022,8.36,20.066,0.0084
EEL-4S,9/17/2022,7.97,19.96,0.0072
EEL-3UP,9/17/2022,8.37,19.66,0.0084
EEL-2UP,9/17/2022,8.53,20.64,0.0118
SAL-4S,9/22/2022,7.72,16.59,0.0089
SAL-3UP,9/22/2022,8.35,18.25,0.0127
SAL-2UP,9/22/2022,8.11,17.33,0.0134
