"site_reach","field_date","ammonium_mg_N_L"
"EEL-4S","6/20/2023",0.00610610700350956
"EEL-BUG","6/20/2023",0.00696306622467261
"EEL-3UP","6/20/2023",0.00449664415909004
"EEL-2UP","6/20/2023",0.00524177241913515
"EEL-STH","6/25/2023",0.00624853351509085
"EEL-4S","6/25/2023",0.0048484871743369
"EEL-BUG","6/25/2023",0.00879604394105454
"EEL-3UP","6/25/2023",0.00562541292809465
"EEL-2UP","6/25/2023",0.00556924101911069
"SAL-4S","6/28/2023",0.00470844413171541
"SAL-3UP","6/28/2023",0.00372195443101561
"SAL-2UP","6/28/2023",0.000958081277780598
"EEL-STH","7/3/2023",0.00640142438827913
"EEL-4S","7/3/2023",0.000867269722182267
"EEL-BUG","7/3/2023",0.00741420118421867
"EEL-3UP","7/3/2023",0.00385133089119311
"EEL-2UP","7/3/2023",0.00428437504929183
"EEL-4S","7/10/2023",0.000934179731663099
"EEL-BUG","7/10/2023",0.000940185646526061
"EEL-3UP","7/10/2023",0.000922032686794068
"EEL-2UP","7/10/2023",0.000848922576112619
"EEL-STH","7/11/2023",0.000961660803590835
"SAL-4S","7/13/2023",0.00488474271752634
"SAL-3UP","7/13/2023",0.00484257291713008
"SAL-2UP","7/13/2023",0.00422734886371977
"EEL-STH","7/17/2023",0.000962253114679102
"EEL-4S","7/17/2023",0.000859322786402561
"EEL-BUG","7/17/2023",0.00811985167672413
"EEL-3UP","7/17/2023",0.000860359485941716
"EEL-2UP","7/17/2023",0.00172516541702974
"EEL-STH","7/24/2023",0.00228518784232597
"EEL-4S","7/24/2023",0.000809752550622357
"EEL-BUG","7/24/2023",0.000903310816980789
"EEL-3UP","7/24/2023",0.00363749061921643
"EEL-2UP","7/24/2023",0.000766780729326141
"SAL-4S","7/27/2023",0.00477047557049294
"SAL-3UP","7/27/2023",0.000963915331672028
"SAL-2UP","7/27/2023",0.00269402769756292
"EEL-STH","7/31/2023",0.00231299667558413
"EEL-4S","7/31/2023",0.00284984402166431
"EEL-BUG","7/31/2023",0.000899062432249328
"EEL-3UP","7/31/2023",0.00407806076601701
"EEL-2UP","7/31/2023",0.00458546161340116
"EEL-STH","8/7/2023",0.0100186931579975
"EEL-4S","8/7/2023",0.00604362813057654
"EEL-BUG","8/7/2023",0.00493046906139222
"EEL-3UP","8/7/2023",0.00603805155083656
"EEL-2UP","8/7/2023",0.00389703287923313
"SAL-4S","8/10/2023",0.00338699481727103
"SAL-3UP","8/10/2023",0.00289657097048879
"SAL-2UP","8/10/2023",0.00448281186527285
"EEL-STH","8/14/2023",0.00712337756039152
"EEL-4S","8/14/2023",0.00618692387976771
"EEL-BUG","8/14/2023",0.00348295740025153
"EEL-3UP","8/14/2023",0.00562763212664029
"EEL-2UP","8/14/2023",0.00437627699521307
"EEL-STH","8/22/2023",0.00454967064333013
"EEL-4S","8/22/2023",0.00951957522392965
"EEL-BUG","8/22/2023",0.0188592867466035
"EEL-3UP","8/22/2023",0.000948578953139588
"EEL-2UP","8/22/2023",0.0065798965615345
"EEL-STH","8/28/2023",0.0039418798518173
"EEL-4S","8/28/2023",0.00703467885136234
"EEL-BUG","8/28/2023",0.00565680933884533
"EEL-3UP","8/28/2023",0.00515330366587024
"EEL-2UP","8/28/2023",0.00499575805012022
"EEL-STH","9/4/2023",0.00835585998245025
"EEL-4S","9/4/2023",0.00701320864970321
"EEL-BUG","9/4/2023",0.00692757017233252
"EEL-3UP","9/4/2023",0.00631003293708628
"EEL-2UP","9/4/2023",0.00511859722490454
"EEL-STH","9/12/2023",0.000964807982321699
"EEL-4S","9/12/2023",0.00770140926059908
"EEL-BUG","9/12/2023",0.00728379607684188
"EEL-3UP","9/12/2023",0.00849364517455794
"EEL-2UP","9/12/2023",0.00614288682607307
"EEL-STH","9/18/2023",0.00597735625810645
"EEL-4S","9/18/2023",0.0154214693550039
"EEL-BUG","9/18/2023",0.00757131785132665
"EEL-3UP","9/18/2023",0.00565778602398105
"EEL-2UP","9/18/2023",0.0102696310343252
"EEL-STH","9/24/2023",0.00679596021746704
"EEL-4S","9/24/2023",0.00687303383087419
"EEL-BUG","9/24/2023",0.00792451505912873
"EEL-3UP","9/24/2023",0.00721366114893967
"EEL-2UP","9/24/2023",0.0079443487166208
